text,images,videos,gender
অসহায় মানুষদের ৮২৫ কেজি খাবার দেই চলেন,[],['https://www.facebook.com/Rafsanthechotobhai/videos/1728100004724414/?__cft__[0]=AZU4vg8PDZN20OMBlJ-LPfoo77qzYZx81ANmcIT72uDUq7bOgz2lFsn0haagl5hpqEp-MWRwDoHokTog4J8LiTRL0cojFUF_KHbaVD2sYyXPDyjfDseu2yGN3sqCyIg4rnTQdtfpL32L17d4RHSpxqrErOS7t9du52J7hC96-LNamp4mZ4OS-3awQqOPWrYwfFdnJvLDlqljIMLoKdXA9Th9wEutH_N1USI88Ugg5cAC-Q&__tn__=%2B%3FFH-R'],m
"Biriyani er elachi
Khudalagse
Petuk Couple
Salman Sadi… See more",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/433225944_1015617586600691_5889137586948613660_n.jpg?stp=dst-jpg_s640x640&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3XljOD4zafUQ7kNvgHVh9mz&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBkILCVwIKRE66uoc1XSKBKrD55crsDC_2jXyDGlruYtQ&oe=666F980B'],[],m
"Most Expensive Iftar in Bangladesh | 53,000 Taka",[],['https://www.facebook.com/Rafsanthechotobhai/videos/1084709252804770/?__cft__[0]=AZVdDfGgY7mS3gasizytpyWsFLTPzAK5Tx-V0oFuDq18lQkdLrzib4GhSB9gDytAwT95rhCROe0ioc6Cyz5UM_Z26H5x9pjEqRnJ1EDH4-qA2tMpg4zHxNZgfZxDEZ8KFQ-j9eVA9jQGHOBn3yGoowLOQlpbuLaqG5F4qFnFYtL3PZOv1JPGfmW0w83r1YPsRv4EVsTf1UdKhvVq1xDyeHb383eZ3fHJiF422BZRiuJkxw&__tn__=%2B%3FFH-R'],m
"Westin’s 53,000 Taka Iftar 
Dropping today at 7:30 PM",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/433842651_18422725870008963_1844376314714884864_n.jpg?stp=dst-jpg_s640x640&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=2azGCkj_AfwQ7kNvgHnW-k2&_nc_ht=scontent.fdac157-1.fna&oh=00_AYA2njXb9Ow7x_p9YefC1VBAD5NFnRrBjx5Rv2QmJxO8_Q&oe=666FC3CF'],[],m
Reviewing a YouTuber's House in Bangladesh,[],['https://www.facebook.com/Rafsanthechotobhai/videos/862079342387682/?__cft__[0]=AZVtlfRBvcfKw_yIwKxq6CEZy7IqV_D6tbwtva3lRubGFlZCD1oM9xtI6YKIHuMMfRQRV1cBLIiKLkhmzu2cPUzsDDuyS06MSU7-GD2hEmeZrCjPGU60wCWodPnS9YggNyPA1yZ3y2y4CHRoRzPW7Gq1BNIYWOsNYU-W6s_U1sCSpUHpWHUw-6zGQtYf0ZcVcZ4EikLOf-mUvRDeBtQAvuInsyUmYgINGClfuzLi2UaZfw&__tn__=%2B%3FFH-R'],m
Every Ramadan in Bangladesh be Like,[],['https://www.facebook.com/Rafsanthechotobhai/videos/814712737373729/?__cft__[0]=AZXK5eEof2kvo-hjzgkbK5yG2U2U247rYq3XFPlvgPuygvwCIYgrNhU3iaERPR2NoGrCLGl6uC-hh9Gsy_gW9QnJ2DE7JGXHditcDZx7kKsjrXfZ38Uy2sDdu-Eaf4Fn8CreDo25Tbm3NUuVIkvC9BbjdmfPvwmv7crscqhDxFl41iqhxDzhxoHs92AbSr7HeYdIO6G6Ip4bKIuwRi3Wa9jEJe9-oiGScotYi5JFDdh33A&__tn__=%2B%3FFH-R'],m
"Me after seeing ""first Iftaar done""
Every Ramadan be Like Part 3 at 7PM",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/432549298_1010527327109717_4987148003870753139_n.jpg?stp=dst-jpg_s640x640&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=muLBoio_GD4Q7kNvgEvHdG-&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBaXhmGwSktoYFXjstkb-v7y40LL0L0pHZn0is9xmg1AA&oe=666F9E8F'],[],m
"Completed my first marathon 
Sponsored my first marathon with BLU 
Thanks for such an amazing event Run Bangladesh Dhaka 25K 2024",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/428707223_1008310227331427_7208963803223301503_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=2sNuMFbIvDAQ7kNvgGEN82c&_nc_ht=scontent.fdac157-1.fna&oh=00_AYCGHkUFe1NuRj8NIPhkIGIV8EdgANVaAM22LKUd-5RQBg&oe=666F98D6'],[],m
"Proud to announce BLU is sponsoring one of the biggest Marathons in Bangladesh Dhaka 25K 2024 by Run Bangladesh
Let’s do this 
 #drinkBlu",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/428710330_1006527960842987_6930533058930846385_n.jpg?stp=cp6_dst-jpg_s720x720&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=I40olk6sYj8Q7kNvgHRYuqJ&_nc_ht=scontent.fdac157-1.fna&oh=00_AYB1PvEJ_qzk0EPXqWKii8etF3nfw2yypFPsQ7PSBh_5FQ&oe=666FC952'],[],m
a message for the food bloggers in Bangladesh,[],['https://www.facebook.com/RafsanTCB/videos/934678238112191/?__cft__[0]=AZWQHgWrD1_e8LJ-MJnKRQ0XMUAmON-Ou__6DWxkntNLUfFOVFCJUv5TUgEcpFaDdYFrEOIFCJCAXzcHwTvnr0cuWilQm7yUZMSXm4OOAgDV2qoPt95awhnL-hzjSoP55zMSzcZeZ9mhS1ElSylhCQwmbLYvN4kQnKL6iijAhbtndXYmxwrStpH098uB0nzSJ-QoP_yyTeOfMKX1bm0QCb_r1UsKlOmgRpLvyKdrKUDKS-dAaIB4jRW2mRV5Nkle1vE&__tn__=%2B%3FFH-y-R'],m
I asked Strangers what to eat in Philippines,[],['https://www.facebook.com/Rafsanthechotobhai/videos/747549784143344/?__cft__[0]=AZUkRMx1YtVX8Z2Wlx_-xaxHMkNzl0GCKVmsCbZroiG8_7_tXivCPTXPTBBH9BerF40rRSPujnff9QP7Oyy_2eg7FUJbkF-IjrV3nIwmeJxybdWHNf01HBWiULJzkrH5mMXJFzx8S-QXFTK-v2aJGNBHwim9IUedR_DUE2qvIhvttOeSIyUTpDVXIXlNOy4tLd3orkov_OS8GVjtdpdL5H-NZM-8RRbYXngfTFsDkOw75A&__tn__=%2B%3FFH-R'],m
Hi Philippines ,['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/428694505_1002343031261480_4497694904301975774_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=K4rSBQRNbLsQ7kNvgHQRlif&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAPa-qN7BtxOxFnqMJJxcG9U5aOarLU27KFLMPCc9R9Rw&oe=666FAA7F'],[],m
"I pulled off one of the craziest pranks ever and it ended up making my mom cry!
Watch on high quality : https://youtu.be/wriXbqmz1K8
Iftekhar Rafsan's Instagram : www.instagram.com/thechotobhai",[],['https://www.facebook.com/Rafsanthechotobhai/videos/956303618480412/?__cft__[0]=AZUJ5--rCTIpoWBfzhR14SQXlMp_h8YzrJ2p4l2UmVIWvmouFmgGh2CfpAtqY8B_e_GhYXb0c2vB_6gBmFkTFTHDXElQJblD1evfceG4I9YFpRoTn6M-Tln17dzqPuBKUS9qTTZRVAQ0Bwq5pf7mAng1OlUWRxYSI2ogGudPOLb_5Uwj-U6blNeJ_ezxKSraWA5lgdmpUJ2HgkrEVV19OwWQqEtnZKo9LMD18WVwxJmLiw&__tn__=%2B%3FFH-R'],m
"Guess what's cooking with Khudalagse?
Dropping on the 23rd at 7:00PM!!!",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/201943886_2993099777676320_1013006510516005629_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=9n6wkRJx38EQ7kNvgECqeSG&_nc_ht=scontent.fdac157-1.fna&oh=00_AYB5vT5Fg2Dx3e7eVelXNKxWy1C9wSFL42oCvCTdV_Btkw&oe=66913DAF'],[],m
"We decided to review Star Kebab and Radisson but there's a small twist!
watch on high quality : https://www.youtube.com/watch?v=SxsoN4wrXJY
Meraki, the punjabi and salwar kameez brand I'm making  https://www.instagram.com/iwearmeraki/
https://www.facebook.com/iwearmeraki
My Personal Instagram : https://www.instagram.com/thechotobhai/
My TikTok : https://www.tiktok.com/@rafsanthechotobhai
Edited bySidratul Tasdee : https://www.instagram.com/stasdeee
D.O.P Mahdin Nabi Khan : https://www.instagram.com/mahdinnabii/",[],['https://www.facebook.com/Rafsanthechotobhai/videos/2922814557977258/?__cft__[0]=AZXDMaazIu-SnLuaTliyvGk8aNCPE3qI-SY7b0Hw6YXYe-j_lvhL47gYp36hRC8LZO-k75o8fBWj2wWpJLXnYwyGMEm9X8QtOqvYlrRqJuvm_sNhLPSCakBEOhfo2p4tTu8Q1EBqrhTQRod3drm4ri58nuhBdsNqrlAV_0wd0esFiyuIi4wsIYU4brD97zAqnP7QhwYB-_uL5Ix_0id5wB3iRcBEo44EKSXylJ72EW2evg&__tn__=%2B%3FFH-R'],m
Ay I feel blessed to have done a campaign with NesCafe! Thanks to each and everyone of you guyss ,[],['https://www.facebook.com/nescafebangladesh/videos/955585438565347/?__cft__[0]=AZV-nYhhqOpMNQsWtOH5Slb60mkOpUOHsXPLxiK1MeM3AVj5czBL1lSYH2oAEaRwVmvNgtS9QcFwDtQ5_HTjQdfiak513L5N5ca-GCruKZNM7dokPjdWOUaVpwP8hRBnQ3j6f3c_5QChEeaXumSx5yTsULy7W3JUiJoyUPVoOLhx5n7s-OrSh6xxnVUDU674XGOYWe5abL6ojJNWoxZiLqJcDurtB_DU7A_km35E-pi1kW8HD9HScNZcG9BOAXGu_dA&__tn__=%2B%3FFH-y-R'],m
