text,images,videos,gender
"Congratulations to Nagad for becoming the first Digital Bank of Bangladesh. 
#Nagad",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/447673860_1016654326490923_8747177151847199286_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lKwrNmDrgzwQ7kNvgFS5Swq&_nc_ht=scontent.fdac157-1.fna&oh=00_AYC4ZPyZbJom8rVU1igEe1rpRc0o9plxsLL-iX0N3Wgo3g&oe=666FBBA0'],[],m
A good night in Sylhet Tanvir A Mishuk #Sylhet #lateuploads,[],[],m
,"['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/436455473_1006092324213790_4422853423219947591_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=6aBJIabdGv8Q7kNvgFgo1as&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAbK5QBBUvEj7cJNnNOG3FoakkL6hjZ7AhmyJOoOX3XiA&oe=666F9D2D', 'https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/435976510_1006095510880138_675198282513665794_n.jpg?stp=dst-jpg_p480x480&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=mgcGBbN9_7gQ7kNvgF7iPov&_nc_ht=scontent.fdac157-1.fna&oh=00_AYDAZJea_r7mMgEHT4tQERrQ11wR1sw3M7veKgv8PJiYWg&oe=666FBE8A']",[],m
Happy Birthday Mushfiqur Rahim ,['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/440414834_1001268864696136_7072537594023790942_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=BAyqU5qX8hUQ7kNvgF5TexB&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAhdqfr30-HNqHw3w3VPtK6_JmMzyQObkgzR0VOxOf-uQ&oe=666FA2E6'],[],m
"#OnThisDay | #TI28 | #BANvZIM (03.03.2020) |
Tamim Iqbal scored 158 against Zimbabwe and in the process, became the first Bangladeshi batsman to score 7000 ODI runs.",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/153107776_4142784922399987_1675507577984351253_n.png?stp=dst-png_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=iCqN-t7YKHoQ7kNvgGH5UXd&_nc_ht=scontent.fdac157-1.fna&oh=00_AYDI_Jgc9ynNVkMYBYaZbPzCx11toK_Q55AEzMowseBbMg&oe=66913FC6'],[],m
"The new ASUS ZenBook Duo 14 lets you get things done in style: calmly, efficiently, and with zero fuss. That's why I picked this as my next-level companion for on-the-go productivity. It brings you all the benefits of tomorrow’s technology, today.
Learn more: https://rebrand.ly/tamimwithzenbookduo
#asus #ASUSBangladesh #TamimIqbal #ZenBook",[],['https://www.facebook.com/TamimOfficial/videos/894313877989693/?__cft__[0]=AZUgd0BgWZlOTXwmKS22sFyiW5pGA0b9kt9UDlV0s710feGR_B4D4kuPzPcSFhVQFBNMPuK0q18VQdeTBvlzxFFfDkjXPps1PV1j25K_EOHSFK9OT9439j-HBVGHrnH_UCBQc2NY1a3d5THJRNrL_mBWurZpLp0BWwyh5qrgHe75Jd8lVQ9AarDYmM1O_AsFEdNHm6Y_sAKIIGcXpJeJshym5nqyRPzEnDPRxN87frgWhQ&__tn__=%2B%3FFH-R'],m
"“সেভেন রিংস্ সিমেন্টের সাথে যুক্ত হতে পেরে আমি খুবই গর্ববোধ করছি। যে লক্ষ্য নিয়ে সেভেন রিংস্ সিমেন্ট এগিয়ে যাচ্ছে, আমি আশা করি খুব শীগ্রই সেভেন রিংস্ সিমেন্ট বাংলাদেশের মার্কেট লিডার হবে।” - তামিম ইকবাল
Seven Rings Cement",[],['https://www.facebook.com/TamimOfficial/videos/3017278911838756/?__cft__[0]=AZVPpXdxmqaocBbop9vXZYbDf1cpHm0qMgmzuFF8aYihV4rlTpciV317fCpyMeMPejjDPqRdZ1Fs0WI9C85NQofiXamJrKz4jTxFift9zBaojD77NN0YFvv6RDLBlDqbyMxz79pZwiRHtZX_L_8O812jGuTmQqc7OZ1_aDJtj_R_BQ1hBXs3RAw55hA44kI_46TKbbNS1LfB0DgEshKVj8Nf9oBHmNoOFsF4UIG4Vx9x2g&__tn__=%2B%3FFH-R'],m
"Missing out yet another birthday of yours.
Prayers that you always look ahead in life with a smile on your face and look back with fondness in your heart.
Happy Birthday Arham. Love from miles away.",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/152469604_4128467130498433_1627434095166152347_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=aH2bE5I9r-cQ7kNvgEblejq&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAftP1O2VmJKTTWspDf1fM_EFnc5kURM2A-YDHpLMBfHw&oe=66912F91'],[],m
#TI28 | #NZvBAN | Off to New Zealand,['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/152151680_4113411225337357_6350273850651179038_n.jpg?stp=dst-jpg_p180x540&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=CyMkwrYdw6YQ7kNvgHurA90&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBqg1ypGr4OD9ilHGzJ_G766yLC8FQ6ZgEfiH9E5ldjig&oe=6691612E'],[],m
Superman vs Superman￼,[],['https://www.facebook.com/TamimOfficial/videos/1635847940136912/?__cft__[0]=AZVs9P0hmAo5yKCU0EoEyDFi_cfZjtZ1DKqJumfMRNO8A39I9XkbaWtyZk4e01I_6KuyMSrlRADACiYlfc_xblyKclVZ9hV14lxKKho5alt5qhf9KNQzfSFMYqnFshav2FeWooFNfJMLYxZET675118ZTNf3ZAUdDeslcKA8yJEMEffQDZb9BrXuZaAqkIRu45B4Bbmgoo9RWxDue3re28FC4NSYetnwzITJI6CC9jgkcw&__tn__=%2B%3FFH-R'],m
"সবাইকে মহান শহীদ দিবস ও আন্তর্জাতিক মাতৃভাষা দিবসের শুভেচ্ছা।
#TI28",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/150236062_4106188669392946_2027531046670584984_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=07388AfAkl4Q7kNvgHva0FQ&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAz1XJYEokQxqSwBGJj32eff61R-Jvjw4uOd2hur6r-TQ&oe=66914BB8'],[],m
"আলহামদুলিল্লাহ
কোভিড-১৯ ভ্যাকসিন প্রথম ডোজ নিলাম। শুকরিয়া জ্ঞাপন করছি মহান আল্লাহ তায়ালার কাছে সাথে ধন্যবাদ জানাই বিসিবি ও বাংলাদেশ সরকারকে।
#TI28 | Alhamdulillah
First of all, I am grateful to Almighty Allah ta'ala, as I have taken the First dose of Covid-19 vaccine. Also thanks to BCB and the Government of Bangladesh.",[],['https://www.facebook.com/TamimOfficial/videos/128877749044616/?__cft__[0]=AZUNBvu7D0UX8MdhE6fD39iOkPo4rMKwOoMiCSw_R6ADI-ZNvVEqCfsX75AJD4fp76bqVxS4VjtrLPCael8cpGjAPT5WZjWiJm-QK3zLeovA9U4Sqc7sp63l-Djz9V_SiMP32Q9IjXazCAfwnaEzLaIvcbYVzVXw_MMTEBi9ZRMdX7vqhVXbo9ib5LpVGicpr4vt8Zwy2DfJnpf1sFNQdb8cXRqqyyYndjmoUtCQ0sy2EQ&__tn__=%2B%3FFH-R'],m
"#TI28 | #BANvWI | Bangabandhu Cricket Series 2021
Bangladesh vs West Indies | Our first Test Match will be on tomorrow, Wednesday 3rd February 2021 at 9.30 AM.",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/144563768_4057870197558127_2036308509141638035_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=tNrg8oGI3lUQ7kNvgE8v5DZ&_nc_ht=scontent.fdac157-1.fna&oh=00_AYCnVSHG4uoFRbnrS4-h-LiGnRR5oaomWM-UpGOUvnoshQ&oe=669130A7'],[],m
#TI28 | #OnThisDay | ২০২০ সালের আজকের দিনে প্রথম শ্রেণীর ক্রিকেটে ৩৩৪* রান করে রেকর্ড গড়েন তামিম ইকবাল। বাংলাদেশের যেকোনো ক্রিকেটারের চেয়ে প্রথম শ্রেণীর ক্রিকেটে এটি সর্বোচ্চ ব্যক্তিগত রানের ইনিংস। দেশের মাটিতেও এটি সর্বোচ্চ ব্যক্তিগত রানের ইনিংস। ,['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/144218850_4057261310952349_492768718298533126_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=0saiQNEXzTEQ7kNvgHbavGo&_nc_ht=scontent.fdac157-1.fna&oh=00_AYCF53UIFG0cg-ofFFw9P-YHQM4f6-MloKjCNLXYClNMaA&oe=6691572C'],[],m
"একটু একটু করে আরহামের বেড়ে ওঠা মুগ্ধ হয়ে দেখি আমি, দারুণ রোমাঞ্চকর সময় কাটে ওর সঙ্গে। কোনো খেলনার দোকানে যাওয়ার পর ওর চোখেমুখে যে উত্তেজনা আর অস্থিরতা খেলা করে, দেখতে খুব ভালো লাগে আমার। সবচেয়ে ভালো লাগে, যখন পছন্দের খেলনাটি নেওয়ার জন্য আরহাম আমাকে নানাভাবে বোঝানোর চেষ্টা করে। কত যে যুক্তি থাকে ওর! - Tamim Iqbal
Photo: Prito Reza",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/144249105_4049050518440095_5538100699503291450_n.jpg?stp=dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=BEJJ9-Dch-AQ7kNvgFGIB3F&_nc_ht=scontent.fdac157-1.fna&oh=00_AYD9wkQVpUh6kdrPheuIOJRZ7oTGgug4BKzIcRfVzfjxMQ&oe=66915055'],[],m
Prito Reza,['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/142484698_4044573022221178_761944747625032262_n.jpg?stp=dst-jpg_p526x296&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=5tnZhHJTsB8Q7kNvgGZK_B2&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBPyrTlL4hX8qo0-I9BtWyoFVxim2y_TXHO-PdF13CINw&oe=6691642E'],[],m
"নগদ থেকে সব সময় আলাদা কিছু করার সুযোগ হয়। আবারো সেরকমই কিছু একটা করার সুযোগ হলো, তাও আবার তাঁদের জন্য যারা আমার কাছে সত্যিকারের হিরো। বিদেশে দিন-রাত কষ্ট করে যাওয়া প্রতিটা রেমিটেন্স যোদ্ধা আমার কাছে একেকজন হিরো, একেকজন বীর। এই বীরদের সম্মান জানালো নগদ আর সেই কার্যক্রমে থাকতে পেরে আমি গর্বিত।
#Nagad",[],['https://www.facebook.com/TamimOfficial/videos/453815833941447/?__cft__[0]=AZVmxUxmP3Y5y3fHQ-Lg-zKlP2VKVM39O_Wc4T873Nwz82Lu4ffCBN_5ljKQE4RTgUSeKW03NPXP8GJC-LXWmOwYUBftq-8Wz-A58BgAPHdvaGvcTYozfmWEmjWnjPGV2gyvLlnJUv2rduyo9s2Hnmqdk79C9whNwaOgXJeUWDA7DYc0uby3re1jxCBhu0Vkm8vJPZVn0V8RH7EPZqGVQFL216QrDVqpkf9UK1ZMHiTohQ&__tn__=%2B%3FFH-R'],m
"Congratulations to Nagad for becoming the first Digital Bank of Bangladesh. 
#Nagad",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/447673860_1016654326490923_8747177151847199286_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lKwrNmDrgzwQ7kNvgFS5Swq&_nc_ht=scontent.fdac157-1.fna&oh=00_AYC4ZPyZbJom8rVU1igEe1rpRc0o9plxsLL-iX0N3Wgo3g&oe=666FBBA0'],[],m
A good night in Sylhet Tanvir A Mishuk #Sylhet #lateuploads,[],[],m
,"['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/436455473_1006092324213790_4422853423219947591_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=6aBJIabdGv8Q7kNvgFgo1as&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAbK5QBBUvEj7cJNnNOG3FoakkL6hjZ7AhmyJOoOX3XiA&oe=666F9D2D', 'https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/435976510_1006095510880138_675198282513665794_n.jpg?stp=dst-jpg_p480x480&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=mgcGBbN9_7gQ7kNvgF7iPov&_nc_ht=scontent.fdac157-1.fna&oh=00_AYDAZJea_r7mMgEHT4tQERrQ11wR1sw3M7veKgv8PJiYWg&oe=666FBE8A']",[],m
Happy Birthday Mushfiqur Rahim ,['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/440414834_1001268864696136_7072537594023790942_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=BAyqU5qX8hUQ7kNvgF5TexB&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAhdqfr30-HNqHw3w3VPtK6_JmMzyQObkgzR0VOxOf-uQ&oe=666FA2E6'],[],m
"#OnThisDay | #TI28 | #BANvZIM (03.03.2020) |
Tamim Iqbal scored 158 against Zimbabwe and in the process, became the first Bangladeshi batsman to score 7000 ODI runs.",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/153107776_4142784922399987_1675507577984351253_n.png?stp=dst-png_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=iCqN-t7YKHoQ7kNvgGH5UXd&_nc_ht=scontent.fdac157-1.fna&oh=00_AYDI_Jgc9ynNVkMYBYaZbPzCx11toK_Q55AEzMowseBbMg&oe=66913FC6'],[],m
"The new ASUS ZenBook Duo 14 lets you get things done in style: calmly, efficiently, and with zero fuss. That's why I picked this as my next-level companion for on-the-go productivity. It brings you all the benefits of tomorrow’s technology, today.
Learn more: https://rebrand.ly/tamimwithzenbookduo
#asus #ASUSBangladesh #TamimIqbal #ZenBook",[],['https://www.facebook.com/TamimOfficial/videos/894313877989693/?__cft__[0]=AZUgd0BgWZlOTXwmKS22sFyiW5pGA0b9kt9UDlV0s710feGR_B4D4kuPzPcSFhVQFBNMPuK0q18VQdeTBvlzxFFfDkjXPps1PV1j25K_EOHSFK9OT9439j-HBVGHrnH_UCBQc2NY1a3d5THJRNrL_mBWurZpLp0BWwyh5qrgHe75Jd8lVQ9AarDYmM1O_AsFEdNHm6Y_sAKIIGcXpJeJshym5nqyRPzEnDPRxN87frgWhQ&__tn__=%2B%3FFH-R'],m
"“সেভেন রিংস্ সিমেন্টের সাথে যুক্ত হতে পেরে আমি খুবই গর্ববোধ করছি। যে লক্ষ্য নিয়ে সেভেন রিংস্ সিমেন্ট এগিয়ে যাচ্ছে, আমি আশা করি খুব শীগ্রই সেভেন রিংস্ সিমেন্ট বাংলাদেশের মার্কেট লিডার হবে।” - তামিম ইকবাল
Seven Rings Cement",[],['https://www.facebook.com/TamimOfficial/videos/3017278911838756/?__cft__[0]=AZVPpXdxmqaocBbop9vXZYbDf1cpHm0qMgmzuFF8aYihV4rlTpciV317fCpyMeMPejjDPqRdZ1Fs0WI9C85NQofiXamJrKz4jTxFift9zBaojD77NN0YFvv6RDLBlDqbyMxz79pZwiRHtZX_L_8O812jGuTmQqc7OZ1_aDJtj_R_BQ1hBXs3RAw55hA44kI_46TKbbNS1LfB0DgEshKVj8Nf9oBHmNoOFsF4UIG4Vx9x2g&__tn__=%2B%3FFH-R'],m
