text,images,videos,gender
" Dance floor-এ ঝড় তুলতে আসছে 'লাগে উরা ধুরা' 
#LaageUraDhura, the 1st song of 
 #Toofan is releasing tomorrow 
 #StayTuned
Film directed by Raihan Rafi, In Cinemas this #EidUlAdha. 
 … See more",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/445413720_1009216173905091_5476097843802839925_n.jpg?stp=dst-jpg_s640x640&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=OP6SG68vkvwQ7kNvgHkO6BH&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBA3dMsZf7K31HLKhLDr436MKamCnyZjM-KqWKC7NIhEQ&oe=666FB398'],[],m
"Unveiling The Official Song Tease of 
 #LaageUraDhura, the 1st song of 
 #Toofan | Film Directed by Raihan Rafi, In Cinemas this #EidUlAdha. 
 #ShakibKhan, #MimiChakraborty #PritomHasan, #AntaraRoy, #ChanchalChowdhury, #MasumaRahmanNabila, #MisaSawdagar, #Alphai, #Chorki, #ShahriarShakil, #RedoanRony, #MahendraSoni, #SVF, #EkushSVF, #ShakibKhan_TOOFAN",[],['https://www.facebook.com/iamShakibKhanbd/videos/361414596514132/?__cft__[0]=AZUKxa_XPzMApOAzv7vNkVKWhg7wpTe6Avy-EbIa_iTXwPaZJn6tRP678yiu10sa9r9QIXQClHPkW-V3kAysqk_wD0qNPQHoXbYLvPCpoWqSLK7SOYMWAiYxAWB37vXPe1vsra1XTt_wYUO7ItEXxF6f71kTdElaDASvQLPUGbovhMrqoGLn2vqYQSlt9URVaQQroR09WsEeV4p0D-hzFsKImrpOXr15bpK68XhM9C3ROw&__tn__=%2B%3FFH-R'],m
"US Trade Show 2024 at Remark-Herlan's Grand Pavilion. 
Relive the excitement of the US Trade Show 2024 at Remark-Herlan’s Grand Pavilion, where iconic celebrities graced us with their presence. We extend our heartfelt gratitude to everyone who visited and made our participation a remarkable success. 
#ShakibKhan #RemarkHerlan #RemarkHB #HerlanStore #USTrade2024 #USTS2024 #USTS #SKFilms #ShakibKhan #Amcham #USEmbassy #Skincare #ColorCosmetics #Makeup #Beauty #Homecare #Personalcare #Authentic",[],[],m
"দেখে নিন ’ইউএস ট্রেড শো ২০২৪’ এর তারকাবহুল জমকালো আয়োজনের একঝলক। রিমার্ক-হারল্যানের ডিরেক্টর ও চিত্রনায়ক শাকিব খান এবং বিশ্বসেরা অলরাউন্ডার ও রিমার্ক-হারল্যানের ব্র্যান্ড অ্যাম্বাসেডর সাকিব আল হাসানের উপস্থিতি ‘হারল্যান স্টোর’র সাড়া জাগানো গ্র্যান্ড প্যাভিলিয়নে যোগ করেছিল এক ভিন্ন মাত্রা।
Revisit the excitement of the US Trade Show 2024 with Remark-Herlan. Our Grand Pavilion was graced by the presence of Remark-Herlan’s Hon'ble Director, Megastar Shakib Khan, and our brand a… See more",[],['https://www.facebook.com/iamShakibKhanbd/videos/469884305564066/?__cft__[0]=AZXH5YfH3Lj-22x7ktKbSCb-hnOyzw9z7xXNExIXKrf8WdKtYKDixNkiSVOeSEkBP0SOXNtOPE6fnBbF6aAcQKYCCRmx9Z6JbNVWBdNCKFYGgGR6VFDyaZrkETt2QjqBoqaCnXivuXDD_PB9ipKW34gRGZ7Lp_8DNcjQMkOdHeRHHLWJBhKV7lQ1r9FtqrYyp-qcWwcWtYOxjwSNYhgfVPIuC5xQHL_nE2yEPsQP2xuLHw&__tn__=%2B%3FFH-R'],m
"Maa (মা) | Rajkumar Movie Song | Shakib Khan | Prince Mahmud X Riyad | Arshad Adnan | Versatile Media | Himel Ashraf 
 Happy Mother's Day to all the moms around the world 
#MaaSong - Prince Mahmud X Riyad. 
Singer : Riyad
Lyrics : Prince Mahmud 
Tune & Music : Prince Mahmud.
#Maa
#rajkumar  
#shakibkhan  
#রাজকুমার
#RajkumarInCinemasNow",[],['https://www.facebook.com/iamShakibKhanbd/videos/1579179069538027/?__cft__[0]=AZWw1QTbZspzokOnLHwTU8iJUNmXlp0supsA8JZrQS1o3DOw6tFh9uIrFJ-YkW_d2dKFThJ8v7IGcHDJjUOE0Lflnt8Vpx6mNErA1oVL9Ksoh5Lhwh0ttndRMSksrPnXKFUubAjY-Tp8o2hmoqZm_p9z_faWtqB29Mjw1GKvx_md764rqAWISHjmCMJ87M3TVIHlMdzhQBv1--LLsF32M_Us&__tn__=%2B%3FFH-R'],m
"বড়পর্দায়
#TOOFAN আনতে চলেছে এই জুটি! 
Presenting Official তুফানি Poster | #Toofan Directed by Raihan Rafi, In cinemas this #EidUlAdha, across #Bangladesh. 
#ShakibKhan #MimiChakraborty",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/441336694_999191081574267_1073860767560264474_n.jpg?stp=dst-jpg_s640x640&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=rjb4ctNm50gQ7kNvgGpnIYz&_nc_ht=scontent.fdac157-1.fna&oh=00_AYCh1HNTfAmo_iBw9Vak-nFieYgyh5jRs8XZfwgwb1UQ9Q&oe=666FBF36'],[],m
"Thank you all for the best wishes & the beautiful emotions you expressed through 
 #TOOFAN’s TEASE!",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/426073953_998568991636476_6006709352799769125_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=FPSfwcMxrcAQ7kNvgHsLl7T&_nc_ht=scontent.fdac157-1.fna&oh=00_AYCMSpCFTdQn1krw9cwTUIBL66qrz9xuZWx1JgObE3n8gQ&oe=666FD155'],[],m
"অত্যন্ত আনন্দের সঙ্গে জানাচ্ছি যে, আমেরিকান চেম্বার অব কমার্স ইন বাংলাদেশ (অ্যামচেম) ও ঢাকাস্থ মার্কিন দূতাবাস এর যৌথ আয়োজনে ২৯তম ইউএস ট্রেড শো-এ অংশগ্রহণ করেছে রিমার্ক এলএলসি ইউএসএ’র অ্যাফিলিয়েটেড প্রতিষ্ঠান রিমার্ক এইচবি’র বিশ্বখ্যাত কালার কসমেটিকস ব্র্যান্ড হারল্যান। সর্বাধুনিক প্রযুক্তিতে তৈরি হারল্যানের বিভিন্ন প্রিমিয়াম কালার কসমেটিকস পণ্য সবচেয়ে বেশি আগ্রহ ভরে দেখছেন দর্শনার্থীরা। 
 ঢাকা ইন্টারকন্টিনেন্টাল হোটেলে চলমান তিন দিনব্যাপী ইউএস ট্রেড শো চলবে ৯ থেকে ১১মে পর… See more","['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/441327343_998212795005429_6398734976469088675_n.jpg?stp=dst-jpg_p526x395&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=6HtYYNoRP3oQ7kNvgEBAcgB&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBiR0YEXMQ1Q6KGVcKwHtF3wnynaPgGk2ioyYoJdSTpeA&oe=666FB347', 'https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/441239658_998212658338776_5123461925533422739_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=dQbwtQysGz4Q7kNvgFmuyXh&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBUvDvhN_ltkTEpPWUH2VLtWQ0L6AiMCe_wHl8ZDdzMgQ&oe=666FB3CE', 'https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/441321956_998212821672093_3527213539550983827_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=g1w77tISbDAQ7kNvgHfj7gz&_nc_ht=scontent.fdac157-1.fna&oh=00_AYDY_B4y9lSHSAGZAA13Yu3O7cgozaf7YbhG4WJ2WAem7Q&oe=666FA15A', 'https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/441289736_998212948338747_8409078421137045694_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=sF8h9f2fIeAQ7kNvgHncYUs&_nc_ht=scontent.fdac157-1.fna&oh=00_AYCnmJhRAy8zhB4Uj2Nzlg6IkeaEENjyQi1d3xauxc60zA&oe=666FA843', 'https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/440847495_998213051672070_5699388336699433205_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=crBSZr8iWoMQ7kNvgH9aBRh&_nc_ht=scontent.fdac157-1.fna&oh=00_AYC5xfjjFOzpKI6LdIoYAFjHoD8Dv9tHkdY4wSrxWKHuAg&oe=666FBDF1']",[],m
"ঝড়ের বেগে কোটি পার 
 #TOOFAN 
#Toofan Tease crossed 1 Cr  views across all social media platforms in just 24 hours! ",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/441399628_997701745056534_9015139924917444127_n.jpg?stp=dst-jpg_s640x640&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=gYFyFOkcfWMQ7kNvgHzDtPB&_nc_ht=scontent.fdac157-1.fna&oh=00_AYA1XFFi-RzNOGuoEMjEOw8I3LltenG5zQNgVRWsWf5BeA&oe=666FA9E7'],[],m
"সৌন্দর্যের ভুবনে আসছে এক নতুন চমক। 
কি সেই নতুন আকর্ষণ? উত্তর মিলবে শিগগিরই, লিলির সাথেই থাকুন।   
#Lily #ShakibKhan #KelseyNotez #LilySoap #BeautySoap #সৌন্দর্যেরসংজ্ঞাতুমিই #লিলি #AlwaysBeYoutiful #BeYou #BeYoutiful
Lily - Always BeYoutiful",[],['https://www.facebook.com/LilyForAll/videos/448562371143219/?__cft__[0]=AZXZ_ZU5Btmst4qJbUAh5kA9tC31xHdGcdJXucgOi41Rt-SZZqigJv0V3f4HBmyRMZBuOM5uUp9R_IJwYBR2GaYIx0dHy3kUjHJeksr_8MYLZcpxExBiurUISbqkkE8dLx9ZXeLDmaBMsDxn1Xfo9QqNbDxGJsTWri78g7ifDkN08B0QQy7uXZao75yOYFQfQv2mdXJZIRPwNP-p3lqZW6PYQqijMifhp3nHwqG8NnyLKxlL9DwuO2ZLbi8H7ZZjFvg&__tn__=%2B%3FFH-y-R'],m
