text,images,videos,gender
Best of luck Bangladesh cricket team.,[],['https://www.facebook.com/Official.Mashrafe/videos/392165193141776/?__cft__[0]=AZUUym9aMRSxTt5kEf4rkxq-Bn6A8gbdqLoI2xH8SEEyv3c2NC1OMj__CLfmxbaxCNtYrm1LRrJC50I37LoLqnlI09iClUJ0fF7IFPROsKTJYPoEKo92vCn5x3fq38X-xtVwxs45IOWZezHDIiXW90Eiyaf_czD-XRfoa4btQIRf_iQ2Nyq47Q_UR6Goj5iygsvqor1Pu2hx-COI22FsxSnM&__tn__=%2B%3FFH-R'],m
"C’mon tigers. Show the world how good you are.  
To be continued at 6pm",[],['https://www.facebook.com/Official.Mashrafe/videos/266104429719533/?__cft__[0]=AZWfy8f6v79HNo3s0HA6T6CBuQNKlu53wPxyxaLUttgRtAFT7dWc39v25-zFtTGLwz-DmsKMaOBBqUQE4W5IFdKk5tjxbhRVQDuz6V3zqbUBUV9xTPUUlhbEfifi6grTJYH3ZfKuPB6O8PpMfcB3HC2TLC-P24FGnF5t0UkzKMyiW8murvoVXfrVgYAj6j5s-lj9abvJO9wSUmMKbNuOfRXB&__tn__=%2B%3FFH-R'],m
আমার চোখে এই মুহূর্তে সাকিব-তামিম।,[],['https://www.facebook.com/Official.Mashrafe/videos/1045839563099874/?__cft__[0]=AZUP8O5Er2zr3tyNYS1FA8DIDnbXqdzXM_f2x61aUfYL47yrd2-rS5C8msh8gesixofgYTk_PoLX4cIbUmv8miAF5QFM5NWwKMXs3vTuzL_dUGeO2rjUx7_dSz5GyEgYFq7rA58Dv4wSH94O0MYIuH8WGbojGeWtZakd3WoQFhOVE-VhMDAg4H7bQgnQ_QS8sAYqrmRSAkioAAi9UzuxsTXU&__tn__=%2B%3FFH-R'],m
"টুকরো টুকরো কাগজে উপচে পড়া ভালোবাসা  
ওরাই আমাদের ভবিষ্যৎ, ওরাই জাতির আশা।",[],['https://www.facebook.com/Official.Mashrafe/videos/2476252002541577/?__cft__[0]=AZVzb9XfRjFlDqnZYj9suCLQIeZ0kI3qUGXgsMn3_gcND4etWqWwfpmwJoaqpzLcL1QwUDhJiT0hxDWOiFQNMjbGvedPMh4K54o9sXtSCHBIlgkm1bQBK2bAZGTG-sagI5S_LhLU9Vv9O28aSTRKww-_SKQMvb4BF7GLL0cPPPIUECYLGCJFzBjdTr0K4XRVqbeKMHMVU7FrRzl0QPGbAGdc&__tn__=%2B%3FFH-R'],m
"এটাই আমার বাড়ি, এটাই আমার ঘর। নাম বাংলাদেশ।",[],['https://www.facebook.com/Official.Mashrafe/videos/3492667081050945/?__cft__[0]=AZXLVIg6GXnC2b-035qZ7exrTs4xoVEIK4T2Vc9mhqXCPCmoZCePC4V3O4yr8S9W67Usl5haHfXe-DyCFi3W25vuhvuRawr1o3Hde7vlQWMqyZkmbbsmqoBiMrBxYS6sRi_BzzWQVeL-Rkyaz5DUnDZfCAKD364Jv5XgARATFLt1pYNuVjItjKeQGJXhyn4JPFLEMdf8eg0M5Zxbm4vB8SHV&__tn__=%2B%3FFH-R'],m
আল্লাহ সবাইকে এমন সৌভাগ্য দেয় না!,[],['https://www.facebook.com/Official.Mashrafe/videos/981371946488727/?__cft__[0]=AZVN4kYjiUD2D2ZGdckHsz1ofmG2y4amrASq_OvsGkJJPKkYzi5abBCBrLwFWGI9rsoyBFLaRNLOFDBGfg-mus00pFx26lRIO2dsJvxOI6HKhWI-UPRGoQgZeS7navn_tIZ1ypKT9I_weHVZeGOM9ZXbAD8KxINMSWmAl1bj_RIcws5iav5bnfp0X6--HHpNFBHFdtyv1zzv0lPLyk_Unb1a&__tn__=%2B%3FFH-R'],m
Peace ,['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/420060339_932544074905022_7398211363014295377_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ofzX5gEnoRoQ7kNvgHWfUgz&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBlcnh9eHCq2nJBcu7ho4w_ZgxNNYf17j5RyWKFdNbEBg&oe=666F901B'],[],m
"নতুন ভোরের আলোয় আলোকিত হবে নড়াইল।
আপনারা আমার সাথে ছিলেন বলে আমি আবারও আপনাদের সাথে থাকার সুযোগ পেয়েছি।
কৃতজ্ঞতা আপনাদের প্রতি, আপনারা আমাকে বিশ্বাস করেছেন।
জয় বাংলা, জয় বঙ্গবন্ধু । বাংলাদেশ চিরজীবী হোক...",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/416242592_925629378929825_4528375278029090703_n.jpg?stp=dst-jpg_s640x640&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=vLdgJqBg0RkQ7kNvgHrO7BX&_nc_ht=scontent.fdac157-1.fna&oh=00_AYB9zFgJWoCxayW7UJzot3NKxqycTUjLK3diplq5-Z--bA&oe=666FA333'],[],m
ধন্যবাদ নড়াইলবাসী। ,['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/415899350_925301272295969_6035960901701547508_n.jpg?stp=dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=eIx0tzr5I9MQ7kNvgF0Q2Uu&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAxua_adsjSddnOKaCim-M9OMt8Rz0lUgbIZvWqFdx9rg&oe=666F957C'],[],m
"নতুন বছরে নতুন শুরুর অপেক্ষায়
সাথে থাকুন, যেতে হবে বহুদূর...",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/415530012_922682902557806_5208361996150407802_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=yQcL510zARIQ7kNvgHUPSni&_nc_ht=scontent.fdac157-1.fna&oh=00_AYARUuMoVi3yZ1NSpmDVZXFOTfC1LdSEg5qewnCN8EHnDw&oe=666FA307'],[],m
